iterations,time,residual,fitness,Cond_num,dt_step
85,3.5264389514923096,0.42980730823854435,0.9931590352921547,0,True
86,3.566876173019409,0.42877421437789814,0.9931754783784054,0,True
87,3.6060121059417725,0.427789616890389,0.993191149579277,0,True
88,3.646815299987793,0.42684789446901367,0.9932061383654742,0,True
89,3.6857662200927734,0.42594424169943235,0.9932205212216667,0,True
90,3.727055072784424,0.42507439924624296,0.9932343659409387,0,True
91,3.7674169540405273,0.42423451864748696,0.9932477337767683,0,True
92,3.807939052581787,0.4234210820262766,0.9932606807209248,0,True
93,3.847954273223877,0.4226308502843196,0.9932732583280387,0,True
94,3.887554407119751,0.4218608285550352,0.9932855142654631,0,True
95,3.9283862113952637,0.42110824350626475,0.9932974926745306,0,True
96,3.969090223312378,0.4203705295706912,0.9933092343897155,0,True
97,4.0077064037323,0.419645322805274,0.9933207770363691,0,True
