method,iterations,time,residual,fitness,cond_num
M-norm,60,0.2880513668060303,1774.8024624500715,0.9630187467363747,5.4033724624898065
M-norm,61,0.29314732551574707,1774.8024624500713,0.9630187467363747,5.4033724624898065
M-norm,62,0.297701358795166,1774.802462450074,0.9630187467363746,5.403372462489801
M-norm,63,0.30228424072265625,1774.8024624500702,0.9630187467363747,5.403372462489809
M-norm,64,0.3069171905517578,1774.8024624500713,0.9630187467363747,5.4033724624897985
M-norm,65,0.31145501136779785,1774.802462450071,0.9630187467363747,5.403372462489812
M-norm,66,0.31650304794311523,1774.802462450072,0.9630187467363747,5.403372462489807
M-norm,67,0.32146191596984863,1774.8024624500736,0.9630187467363746,5.403372462489799
M-norm,68,0.3260838985443115,1774.802462450071,0.9630187467363747,5.403372462489802
M-norm,69,0.33064985275268555,1774.8024624500729,0.9630187467363747,5.403372462489799
M-norm,70,0.33530592918395996,1774.8024624500702,0.9630187467363747,5.403372462489814
M-norm,71,0.3402998447418213,1774.8024624500679,0.9630187467363747,5.403372462489807
M-norm,72,0.34531283378601074,1774.8024624500706,0.9630187467363747,5.403372462489813
M-norm,73,0.35033679008483887,1774.802462450074,0.9630187467363746,5.403372462489803
M-norm,74,0.35543060302734375,1774.8024624500747,0.9630187467363746,5.4033724624898145
M-norm,75,0.3602266311645508,1774.8024624500758,0.9630187467363746,5.403372462489807
M-norm,76,0.3648226261138916,1774.8024624500695,0.9630187467363747,5.403372462489813
M-norm,77,0.36981844902038574,1774.8024624500722,0.9630187467363747,5.4033724624898
M-norm,78,0.37459802627563477,1774.802462450074,0.9630187467363746,5.403372462489805
M-norm,79,0.3792898654937744,1774.8024624500727,0.9630187467363747,5.403372462489813
M-norm,80,0.38483667373657227,1774.802462450075,0.9630187467363746,5.403372462489813
M-norm,81,0.38967347145080566,1774.8024624500747,0.9630187467363746,5.403372462489809
M-norm,82,0.3941795825958252,1774.802462450071,0.9630187467363747,5.403372462489807
M-norm,83,0.3997948169708252,1774.8024624500715,0.9630187467363747,5.403372462489802
M-norm,84,0.40456080436706543,1774.8024624500697,0.9630187467363747,5.403372462489793
M-norm,85,0.4091968536376953,1774.8024624500729,0.9630187467363747,5.403372462489799
M-norm,86,0.41440486907958984,1774.8024624500715,0.9630187467363747,5.403372462489809
M-norm,87,0.4193859100341797,1774.802462450075,0.9630187467363746,5.403372462489818
M-norm,88,0.4239377975463867,1774.8024624500695,0.9630187467363747,5.403372462489813
M-norm,89,0.42917895317077637,1774.8024624500736,0.9630187467363746,5.403372462489801
M-norm,90,0.4343440532684326,1774.8024624500708,0.9630187467363747,5.4033724624898145
M-norm,91,0.43923091888427734,1774.8024624500772,0.9630187467363746,5.4033724624898065
M-norm,92,0.4442777633666992,1774.802462450075,0.9630187467363746,5.403372462489803
M-norm,93,0.45012998580932617,1774.8024624500788,0.9630187467363744,5.4033724624898065
M-norm,94,0.45516514778137207,1774.8024624500774,0.9630187467363746,5.4033724624898065
M-norm,95,0.4600348472595215,1774.802462450076,0.9630187467363746,5.403372462489816
M-norm,96,0.4648110866546631,1774.802462450073,0.9630187467363747,5.4033724624897985
M-norm,97,0.47002410888671875,1774.8024624500697,0.9630187467363747,5.403372462489813
M-norm,98,0.47562217712402344,1774.8024624500704,0.9630187467363747,5.403372462489811
M-norm,99,0.4804401397705078,1774.8024624500758,0.9630187467363746,5.403372462489813
M-norm,1,0.0,47949.48150776413,0.0008849114113563816,8.643985549449038
M-norm,2,0.005695819854736328,123010.95404780527,-1.5631580652430168,16.28189298597065
M-norm,3,0.01074981689453125,10978.944578120549,0.7712336225574713,4.762143149234162
M-norm,4,0.01605081558227539,1789.7546692389633,0.962707190178499,5.404525636256352
M-norm,5,0.02069091796875,1774.652696111781,0.9630218673917736,5.403364772174566
M-norm,6,0.02613687515258789,1774.8014565249628,0.963018767696663,5.4033723851175095
M-norm,7,0.031517982482910156,1774.8024583946515,0.9630187468208767,5.403372462210773
M-norm,8,0.03809523582458496,1774.8024624367633,0.963018746736652,5.40337246248858
M-norm,9,0.042797088623046875,1774.8024624500583,0.9630187467363749,5.403372462489801
M-norm,10,0.047818899154663086,1774.8024624500692,0.9630187467363747,5.403372462489805
M-norm,11,0.05286407470703125,1774.8024624500754,0.9630187467363746,5.4033724624898065
M-norm,12,0.05775594711303711,1308.3502358186872,0.9727381314529273,5.44709658286517
M-norm,13,0.06307697296142578,1301.8771891990982,0.9728730092105882,5.452810801266244
M-norm,14,0.0680079460144043,1301.045765357592,0.9728903334459905,5.454468810604601
M-norm,15,0.07317399978637695,1300.4637563910471,0.9729024606665961,5.456455914756945
M-norm,16,0.07801508903503418,1300.0415414412953,0.9729112582867926,5.458261796926017
M-norm,17,0.0831611156463623,1299.7537086562506,0.9729172558089656,5.459803616812164
M-norm,18,0.08812499046325684,1299.5633295664422,0.9729212227052739,5.46109620081201
M-norm,19,0.09324812889099121,1299.4395553434692,0.9729238017674424,5.462172111165548
